complaint_text,Category_of_review,Category_of_review_1
"My clothes arrived significantly later than the estimated delivery date, causing me inconvenience as I needed them for a special event. The tracking information was unreliable, and customer service was unhelpful in providing updates. This shipping experience left me frustrated.",Shipping,Shipping
"The clothes I ordered came with a warranty card, but when I attempted to register it, I discovered that the information was incomplete and confusing. My attempts to contact customer support for clarification went unanswered, leaving me uncertain about my warranty coverage. This lack of transparency is concerning.",Warranty card,Warranty card
"I regret my purchase as the quality of these clothes is disappointing. After just a few wears, the fabric started to show signs of wear and tear, and the colors faded significantly. Despite being under warranty, the manufacturer's response has been slow and unhelpful in resolving the issues with the product.",Product quality,Product quality
"The product quality of this dishwasher is impressive. It feels solid and well-built, and the stainless steel interior is not only visually appealing but also durable. The buttons and control panel are responsive and have a premium feel. The dishwasher operates quietly, and the cleaning results have been consistently excellent. Overall, a great product in terms of quality and performance.",Positive review,Positive review
"The product quality of this digital watch is outstanding. The materials used are top-notch, and it feels very robust on the wrist. The watch face is protected by scratch-resistant glass, and the overall construction exudes durability. The strap is comfortable and has shown no signs of wear and tear. All the features and sensors work flawlessly. The watch's quality is certainly worth the investment, and it looks like it will last for years without any issues.",Positive review,Positive review
"When it comes to product quality, these headphones are a prime example of excellence. The build is sturdy and feels premium in your hands. The materials used are high-grade, and you can tell that they are built to last. The cushioning on the earcups and headband is comfortable and doesn't show any signs of wear. The sound quality is impeccable, and the noise-canceling technology is effective. These headphones have proven their quality time and time again, making them worth every penny.",Positive review,Positive review
"The product quality of this robotic mop is commendable. It's well-constructed, and the build feels durable. The mop pads are of good quality and have held up well after multiple uses. The sensors and navigation system work reliably, and the app control adds convenience. However, the occasional issue with getting stuck under furniture can be a minor annoyance. Overall, a solid product in terms of quality and functionality, but a slight improvement in avoiding obstacles would make it perfect.",Positive review,Positive review
"The product quality of this dishwasher is unmatched. It's built like a tank. The stainless steel interior not only looks sleek but also stands up to repeated use without showing any signs of wear. The racks are sturdy, and the adjustable tines hold up well even with heavy loads. The control panel is intuitive and responsive. It's evident that this dishwasher is made to last. I've had it for years, and it still performs flawlessly.",Positive review,Positive review
"This digital watch oozes quality from the moment you unbox it. The watch case and strap are made of high-quality materials that feel both premium and robust. The watch face is protected by scratch-resistant glass, and the display remains clear and bright. The buttons are tactile and responsive, and the overall build exudes durability. After months of everyday wear, it still looks and functions like new. The craftsmanship is truly exceptional.",Positive review,Positive review
"Product quality is where these headphones shine. The build is exceptional, with a blend of metal and high-quality plastics that feel substantial and long-lasting. The ear cushions and headband padding are comfortable and have maintained their shape. The hinges and swivels are solid and don't show any signs of weakness. Even the audio cables are well-insulated and show no signs of wear or fraying. These headphones are a testament to superior product quality.",Positive review,Positive review
"The product quality of this robotic mop is evident in its durability and performance. The body of the mop feels solid and resistant to everyday wear and tear. The mop pads are of decent quality, although they might need occasional replacement after extended use. The sensors and motor work reliably, and the overall construction is well-engineered. The app control adds a modern touch. The only minor downside is that it occasionally struggles with detecting small obstacles. However, its overall build and quality are impressive.",Positive review,Positive review
"The product quality of this dishwasher is impressive, with its sturdy construction and premium feel. The stainless steel interior not only looks elegant but also resists stains and scratches well. The door is solid and closes securely, ensuring that it runs quietly and efficiently. The only minor issue is with the plastic control panel, which doesn't seem as durable as the rest of the unit. Nevertheless, the overall product quality is excellent, and it's been a reliable addition to my kitchen.",Product quality,Product quality
"The product quality of these headphones is nothing short of exceptional. The build exudes durability, from the metal headband to the premium plastics used in the earcups. The ear cushions and padding remain comfortable and show no signs of deterioration. Even the cables are reinforced and appear built to last. The sound quality is remarkable, and the noise-canceling technology works like a charm. These headphones are a shining example of what top-tier product quality should be.",Product quality,Product quality
"I couldn't be happier with my new dishwasher. It's a game-changer in the kitchen. The product quality is exceptional - it feels solid and well-made. What's even better is how well it cleans dishes. Even tough, baked-on food is no match for its cleaning power. It's also incredibly quiet, so I can run it anytime without disruption. The various wash cycle options are convenient, and it can handle a large load. This dishwasher has truly made my life easier, and I highly recommend it.",Positive review,Positive review
"This digital watch is an absolute gem. The product quality is evident from the moment you put it on your wrist. It looks sleek and modern, making it suitable for any occasion. The display is crisp, and the touchscreen is responsive. The watch is packed with features, from fitness tracking to notifications, and they all work seamlessly. The battery life is impressive, and I can go days without recharging. It's a stylish and functional accessory that I can't do without.",Positive review,Positive review
"I can't express how much I love these headphones. The product quality is top-notch, with a solid build and comfortable fit. The sound quality is nothing short of amazing. The bass is deep, mids are clear, and highs are crisp. The noise-canceling feature is a game-changer for blocking out distractions. I've used these on long flights, and they make a world of difference. The battery life is superb, and they're a must-have for any music lover or frequent traveler.",Positive review,Positive review
"This robotic mop is a godsend. It has made keeping my floors clean effortless. The product quality is evident in its durable construction. The mop pads are effective and hold up well. The app control is a convenient feature, allowing me to schedule cleanings when I'm not at home. While it occasionally gets stuck under furniture, it's a minor issue compared to the time and effort it saves. I can't imagine my life without it now. Highly recommended for anyone who values a clean home with minimal effort.",Positive review,Positive review
"I can't believe how much easier this robotic mop has made my life. The product quality is evident in its durability. The mop pads are effective, and I've noticed a significant improvement in my floor's cleanliness. The app control is convenient, and I love being able to set it to clean while I'm away. Despite occasional hiccups with furniture, it's a lifesaver. My floors have never been cleaner, and I have more free time on my hands. A fantastic addition to any household.",Positive review,Positive review
"These headphones have exceeded all my expectations. The product quality is exceptional, with a sturdy build and plush cushioning. The sound quality is absolutely phenomenal; it's like having a concert in your ears. The noise-canceling is effective at blocking out distractions, which is a game-changer for my daily commute. The battery life is long-lasting, and I can use them for hours without worrying about recharging. If you're an audiophile, you need these in your life.",Positive review,Positive review
"I can't say enough good things about this digital watch. The product quality is undeniable; it feels like a premium timepiece. The sleek design is versatile, making it a great fit for both work and workouts. It's loaded with features like heart rate monitoring, GPS tracking, and smart notifications, and they all function flawlessly. The battery life is impressive, making it ideal for extended use. If you're looking for a reliable and stylish watch, this is the one to get.",Positive review,Positive review
"This dishwasher is a real gem in my kitchen.The product quality is outstanding; it feels robust and well-constructed. But what truly shines is its performance. It leaves my dishes spotless every time, and I've yet to encounter a stain it can't tackle. The quiet operation is a huge bonus, as I can run it during the night without any disturbance. It's easy to use, and the different wash cycles offer versatility. In short, it's a reliable workhorse that makes my life so much easier.",Positive review,Positive review
"This smartwatch is a total disappointment. The build quality is flimsy, and the screen scratched within days. It often loses its connection with my phone, rendering it useless for notifications. The battery life is abysmal, barely lasting a day. Don't waste your money.",Product quality,Product quality
"I ordered a shirt online, and the quality is terrible. The fabric feels cheap and wrinkles easily. After just one wash, the color faded significantly. The stitching is subpar, with loose threads all over. This shirt is not worth the price.",Product quality,Product quality
"This robotic mop is a disaster. It struggles to navigate even the simplest rooms, constantly getting stuck or failing to clean properly. The cleaning pads wear out too quickly, and the motor is loud. Save your money and stick to a traditional mop.",Product quality,Product quality
"My new washing machine is a lemon. It leaks water all over the floor, no matter how careful I am with loading it. The spin cycle sounds like a freight train, and it often leaves detergent residue on my clothes. I'm extremely disappointed in the quality of this appliance.",Product quality,Product quality
"This smartwatch is a joke. The touchscreen is unresponsive, and the battery barely lasts a few hours, even with minimal use. The step counter is wildly inaccurate, and the watch band broke after just a few weeks. It's a waste of money.",Product quality,Product quality
"The clothes I ordered look nothing like the pictures online. The colors are faded, and the sizing is completely off. The fabric feels rough against the skin, and there's loose threading everywhere. I won't be shopping from this brand again.",Product quality,Product quality
"I had high hopes for this robotic mop, but it's been a huge letdown. It often gets stuck under furniture and fails to clean properly in corners. The battery life is pitiful, and it frequently loses its way back to the charging dock. Not worth the investment",Product quality,Product quality
"This washing machine is a headache. It constantly goes off balance during the spin cycle, causing loud, unsettling vibrations. It's also prone to mold growth in the detergent drawer, despite regular cleaning. I regret buying this model.",Product quality,Product quality
"I bought this smartwatch, and it's a total disaster. The heart rate monitor is wildly inaccurate, and the app is full of bugs. The watch randomly restarts, and the strap started falling apart within a month. I'm furious at the poor quality.",Product quality,Product quality
"I ordered a set of clothes, and they arrived with loose buttons and seams that were already unraveling. The material is thin and tears easily. The sizing was completely off, making them unwearable. I wouldn't recommend this clothing brand to anyone.",Product quality,Product quality
"This smartwatch is a complete letdown. The touchscreen is unresponsive, and the battery drains within hours, even with minimal use. The heart rate monitor provides inaccurate readings, and the build quality feels flimsy. It's not worth the money.",Product quality,Product quality
"I ordered a pair of jeans, and the quality is abysmal. The fabric is so thin that it's practically see-through, and it ripped after just a few wears. The stitching is uneven, and the sizing is way off. This is one of the worst clothing purchases I've made.",Product quality,Product quality
"I had high hopes for this robotic mop, but it's been a major disappointment. It frequently gets stuck under furniture, and the cleaning pads wear out quickly. The navigation is erratic, leaving some areas untouched. It's more trouble than it's worth.",Product quality,Product quality
"This washing machine is a nightmare. It frequently leaks water during the cycle, causing a mess. The control panel is glitchy, and it often displays error codes for no apparent reason. The clothes come out wrinkled and tangled. A huge disappointment",Product quality,Product quality
"The smartwatch I purchased is a disaster. The screen scratches easily, and the app constantly crashes. The advertised waterproof feature is a joke; it stopped working after a brief exposure to water. The strap is uncomfortable, and the watch feels cheaply made.",Product quality,Product quality
"I ordered a dress, and it's nothing like the picture online. The colors are dull, and the fabric feels rough against the skin. The stitching is haphazard, with loose threads all over. The sizing is completely off. I'm very dissatisfied with this purchase.",Product quality,Product quality
"This robotic mop is a waste of money. It often misses spots and leaves the floor streaky and dirty. The battery life is dismal, and it frequently gets stuck under low furniture. The design is not practical, and I regret this purchase.",Product quality,Product quality
"My experience with this washing machine has been a nightmare. It produces loud, jarring vibrations during the spin cycle, even after professional installation. The detergent dispenser frequently clogs, and it's prone to mold buildup. I'm deeply disappointed in this product.",Product quality,Product quality
"I bought this smartwatch, and it's been a constant frustration. The battery drains rapidly, and the touchscreen is unresponsive. It frequently loses its connection to my phone, making it unreliable for notifications. The overall quality is far below expectations.",Product quality,Product quality
"The clothes I ordered are a major letdown. The colors faded significantly after just one wash, and the fabric shrank noticeably. The stitching is subpar, and the clothing feels uncomfortable to wear. This brand's quality is severely lacking.",Product quality,Product quality
"I ordered a dress, and it took over a month to arrive. When it finally did, it was the wrong size. The shipping delays and size mix-up have been incredibly frustrating.",Shipping problem,Shipping Problem
"The smartwatch I purchased arrived nearly two weeks late. I missed out on using it for an important event, and the delay was never explained by the company. Terrible shipping service.",Shipping problem,Shipping Problem
"The robotic mop arrived with significant shipping damage. The box was crushed, and parts were missing. It took a week of back-and-forth with customer service to get a replacement. Unacceptable.",Shipping problem,Shipping Problem
"My washing machine was delivered with visible dents and scratches, likely due to mishandling during shipping. It's disappointing to receive such a large and expensive item in this condition.",Shipping problem,Shipping Problem
"I ordered a coat for winter, and it arrived just in time for summer! The shipping delay was inexplicable and has left me without a needed winter coat for months.",Shipping problem,Shipping Problem
The smartwatch I ordered was stuck in transit for weeks. The lack of communication and transparency regarding shipping delays is unacceptable.,Shipping problem,Shipping Problem
"The robotic mop was delayed for an entire month without any updates or explanations. I needed it for a specific event, and this shipping delay caused a major inconvenience.",Shipping problem,Shipping Problem
"The washing machine I ordered was mishandled during shipping, resulting in broken components. The hassle of returning and waiting for a replacement is frustrating.",Shipping problem,Shipping Problem
"I ordered a set of clothes for a vacation, and they arrived two days after my trip. The shipping estimate was way off, and this delay impacted my plans and wardrobe.",Shipping problem,Shipping Problem
"The smartwatch I purchased took three weeks to arrive, and when it did, it had a dead battery. The shipping delays and the faulty product have left me thoroughly disappointed.",Shipping problem,Shipping Problem
"Ordered clothes for a special event, but they arrived a week late. Missed the occasion due to shipping delays, and the lack of communication made the situation worse.",Shipping problem,Shipping Problem
The smartwatch I bought was delayed by two weeks with no explanation. The company's inability to meet the delivery window is frustrating.,Shipping problem,Shipping Problem
"The robotic mop arrived with shipping damage, and I had to wait for a replacement. The inconvenience of dealing with a damaged product and the extended wait time was disappointing.",Shipping problem,Shipping Problem
"The washing machine I ordered was held up in transit, causing an unnecessary two-week delay in setting up my laundry. It's been a hassle to wait for a product I needed urgently.",Shipping problem,Shipping Problem
"My clothing order got lost in transit, and the customer service response was slow and unhelpful. This shipping mishap has been a huge inconvenience.",Shipping problem,Shipping Problem
My smartwatch arrived with a cracked screen due to poor packaging during shipping. The extra time and cost to return and replace it is frustrating.,Shipping problem,Shipping Problem
"The shipping of the robotic mop was delayed due to a warehouse mix-up, and it took nearly a month to arrive. The lack of proactive communication added to the frustration.",Shipping problem,Shipping Problem
My washing machine delivery was postponed multiple times without clear reasons. The company's inability to stick to the scheduled delivery dates is highly disappointing.,Shipping problem,Shipping Problem
The clothing I ordered took three weeks longer to arrive than initially promised. The shipping delay caused problems for a time-sensitive event I had planned.,Shipping problem,Shipping Problem
"The smartwatch I ordered was misrouted during shipping, adding a week to the delivery time. The inconvenience of the delay and the lack of tracking updates were frustrating.",Shipping problem,Shipping Problem
"The clothing I ordered looked stunning in the ads, but in reality, the colors were dull, and the fabric felt cheap. The advertised ""wrinkle-free"" feature was a joke, as it was a wrinkled mess right out of the package. False advertising at its finest.",Fake advertisement,Fake advertisement
"This smartwatch claimed to have advanced health tracking features, but the heart rate monitor is wildly inaccurate. The battery life falls far short of what was promised, and the app lacks many of the features showcased in the ads. I feel deceived.",Fake advertisement,Fake advertisement
"The ads for this robotic mop portrayed it effortlessly cleaning every corner of the house. In reality, it frequently gets stuck and often leaves entire areas untouched. The ""efficiency"" shown in the ads is nowhere to be seen.",Fake advertisement,Fake advertisement
"The washing machine promised quiet operation, but it sounds like a jet engine during the spin cycle. The ads also claimed energy efficiency, but my utility bills tell a different story. False advertising on both performance and cost savings.",Fake advertisement,Fake advertisement
"The clothing ads displayed vibrant colors and perfect fits, but what I received was a far cry from that. The colors faded after just a couple of washes, and the sizing was completely off. False advertising at its worst.",Fake advertisement,Fake advertisement
"I bought this smartwatch based on the ads' promise of seamless connectivity with all devices. In reality, it constantly loses connection with my phone and struggles with syncing. The advertised ""user-friendly"" experience is anything but.",Fake advertisement,Fake advertisement
"The ads for this robotic mop showcased it navigating through rooms with ease, but in my home, it frequently gets stuck and misses entire sections. The claims of effortless cleaning are a gross exaggeration.

",Fake advertisement,Fake advertisement
"The washing machine was advertised as ""whisper-quiet,"" but it's anything but quiet during operation. The advertisements for its noise level and convenience are misleading.",Fake advertisement,Fake advertisement
"The clothes I ordered were portrayed as high-quality and durable, but they tore and frayed easily. The fabric was thin and flimsy, completely at odds with what was showcased in the ads. False advertising, plain and simple.",Fake advertisement,Fake advertisement
"The smartwatch ads promised a sleek design and long-lasting battery life. In reality, it feels bulky, and the battery barely lasts a day with minimal use. The advertised ""stylish and functional"" design is misleading.",Fake advertisement,Fake advertisement
"The smartwatch ads highlighted its long-lasting battery life, but the watch barely lasts a day even with minimal use. The advertised ""extended usage"" is a blatant misrepresentation of the product's capabilities.",Fake advertisement,Fake advertisement
"The clothing ads featured models comfortably moving in their outfits, but when I tried them on, the fit was tight and restrictive. The advertised ""comfortable wear"" was completely misleading.",Fake advertisement,Fake advertisement
